"10-digit session UID","Session ID","Session start","Session end","Session duration (minutes)","Charging duration (minutes)","Session idle (minutes)","Estimated Completion Time","kWh delivered","MAX kW","AVG kW","SoC Start","SoC End","User","Vehicle","EVSEID (PFID)","FSE ID","XB Address","Serial #","EVSE type","External Name","Station Name","Site","Site Location","Auth Source","Auth Details","Cost to site","Cost to driver","Fleet","Vehicle barcode"
489269683,"0066270213_2026-06-05 22:23:47.334000_EDGE","2026-06-05 15:23:45.157 -0700","2026-06-08 07:27:07.905 -0700",3843.38,552.2,3291.18,"2026-06-05 23:23:45.157 -0700",26.942,6.396,0.443,,,,,"0066-27-02-13",,"0013A20041F00DBB","SWH01492100009","Webasto DX",,"HS-11 Fleet Only","SM Health Services","2125 Centerpointe Pkwy, Santa Maria, CA 93455","Kiosk","kiosk_claim",12.932,12.932,false,""
489269472,"0066230202_2026-06-05 22:20:16.238899_EDGE","2026-06-05 15:20:14.344 -0700","2026-06-05 17:42:10.909 -0700",141.95,141.35,0.6,"2026-06-05 23:20:14.344 -0700",13.463,6.077,5.963,,,,,"0066-23-02-02","FSE1701348E","0013A200420EEEE5","SWH01482100239","Webasto DX",,"DA-2 Fleet Only","SB District Attorney","1112 Santa Barbara St, Santa Barbara, CA 93101","Kiosk","kiosk_claim",6.462,6.462,false,""
489269433,"0066270203_2026-06-05 22:19:38.851496_EDGE","2026-06-05 15:19:36.325 -0700","2026-06-07 18:00:32.851 -0700",3040.95,796.33,2244.62,"2026-06-05 23:19:36.325 -0700",50.656,6.398,1.052,,,,,"0066-27-02-03",,"0013A20041F01B84","SWH01492100005","Webasto DX",,"HS-1 Fleet Only","SM Health Services","2125 Centerpointe Pkwy, Santa Maria, CA 93455","Kiosk","kiosk_claim",24.315,24.315,false,""
489267691,"0066040214_2026-06-05 21:44:35.016557_EDGE","2026-06-05 14:44:32.667 -0700","2026-06-08 07:30:22.956 -0700",3885.83,1219.4,2666.43,"2026-06-05 22:44:32.667 -0700",88.816,6.142,1.457,,,,,"0066-04-02-14","FSE742988E","0013A20041B91742","SWH01142000060","Webasto DX",,"23","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Kiosk","kiosk_claim",38.191,38.191,false,""
489267471,"0066040211_2026-06-05 21:39:08.158103_EDGE","2026-06-05 14:39:05.432 -0700","2026-06-08 14:30:42.633 -0700",4311.62,276.72,4034.9,"2026-06-05 22:39:05.432 -0700",2.543,4.921,0.037,,,,,"0066-04-02-11","FSE742976E","0013A20041B90BD8","SWH01162000388","Webasto DX",,"AD-11 Fleet Only","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Kiosk","kiosk_claim",1.094,1.093,false,""
489267411,"0066030219_2026-06-05 21:37:09.133140_EDGE","2026-06-05 14:37:07.107 -0700","2026-06-08 14:08:50.852 -0700",4291.73,665.68,3626.05,"2026-06-06 00:37:07.107 -0700",19.118,6.395,0.278,,,,,"0066-03-02-19","FSE596410E","0013A20041A7B4B8","SWH01032000031","Webasto DX",,"LD-2 Fleet Only","LPC Health Services","1100 W. Laurel Ave, Lompoc, CA 93436","Kiosk","kiosk_claim",8.412,8.412,false,""
489267380,"0066120220_2026-06-05 21:36:19.890268_EDGE","2026-06-05 14:36:17.895 -0700","2026-06-05 17:55:38.964 -0700",199.35,199.15,0.2,"2026-06-05 20:36:17.895 -0700",11.029,5.86,3.49,,,46895,47445,"0066-12-02-20","FSE811683E","0013A20041E8817A","SWH01352100215","Webasto DX",,"2B","SB Jail","4430 Calle Real, Santa Barbara, CA 93110","App",,4.301,4.3,false,""
489266868,"0066040223_2026-06-05 21:20:24.248759_EDGE","2026-06-05 14:20:21.915 -0700","2026-06-05 17:37:16.902 -0700",196.92,0.97,195.95,"2026-06-05 22:20:21.915 -0700",0,0,0,,,,,"0066-04-02-23","FSE742982E","0013A20041BECEBC","SWH01162000348","Webasto DX",,"AD-17 Fleet Only","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Default",,0,0,false,""
489266676,"0066040213_2026-06-05 21:13:20.451358_EDGE","2026-06-05 14:13:17.839 -0700","2026-06-05 14:14:50.064 -0700",1.53,0,1.53,"2026-06-05 22:13:17.839 -0700",0,0,0,,,,,"0066-04-02-13","FSE742987E","0013A20041B91079","SWH01162000372","Webasto DX",,"AD-21 Fleet Only","SB Admin","105 E. Anapamu St, Santa Barbara, CA 93101","Default",,0,0,false,""
489266658,"0066270214_2026-06-05 21:12:37.275880_EDGE","2026-06-05 14:12:35.096 -0700","2026-06-08 11:06:00.936 -0700",4133.43,80.25,4053.18,"2026-06-05 22:12:35.096 -0700",3.279,6.312,0.049,,,,,"0066-27-02-14",,"0013A20041F00184","SWH01312100232","Webasto DX",,"HS-12 Fleet Only","SM Health Services","2125 Centerpointe Pkwy, Santa Maria, CA 93455","Kiosk","kiosk_claim",1.574,1.574,false,""
